Index,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
271892,271892,Nu,Man O To - Be Svendsen Remix,5Mec3JZZldBlWORup9vhgK,49,2017,electro,0.925,0.42,7,-12.116,1,0.106,0.266,0.531,0.0976,0.668,108.994,228991,4
496780,496780,Os Barões Da Pisadinha,A Roça ou a Cidade (Da Roça Pra Cidade) - Ao Vivo,02U2HxItROptvGJ5NPReWz,44,2021,forro,0.602,0.962,6,-2.375,0,0.0621,0.293,0.0,0.156,0.835,172.201,180615,4
862402,1018521,Yaga & Mackie,Fuego,4wXpSzmNqxhPX2YgUM5BCq,50,2005,hip-hop,0.889,0.64,6,-6.483,1,0.275,0.119,0.0623,0.0827,0.968,94.93,223013,4
139517,139517,Raury,God's Whisper,5H5yQqdVJSK9VW5fxMUI4M,44,2014,hip-hop,0.617,0.535,9,-10.07,0,0.0319,0.129,0.274,0.1,0.461,144.009,243707,3
33784,33784,Mitski,Wife,4zT8i7GOELAUU1jDh7ZeMM,53,2012,indie-pop,0.329,0.101,0,-14.451,1,0.0339,0.956,0.0,0.382,0.227,80.695,159520,3
424005,424005,Pearl Jam,Jeremy - Live MTV Unplugged,7LYLw1MSToSNRmaL9E1Fwr,46,2020,alt-rock,0.344,0.731,5,-7.723,1,0.0329,0.00244,0.000654,0.708,0.17,104.79,319093,4
1092205,1365355,Technohead,I Wanna Be A Hippy,3NVfe7Iqz2mk5hqJSGPVNs,49,2010,hardcore,0.702,0.947,8,-4.032,1,0.0537,0.131,0.63,0.112,0.417,177.383,196232,4
558556,558556,BAKI,Dark Horse - Hardstyle,7I9wMkYscN50v03Xv5l7l5,51,2022,hardstyle,0.391,0.938,1,-4.431,1,0.0853,0.000424,0.0,0.294,0.282,160.25,83543,5
472618,472618,George Jackson,I Can't Do Without You,5rbGLI5j4CoAStHSWrx0HW,47,2020,soul,0.557,0.606,9,-6.884,0,0.064,0.136,0.0,0.245,0.592,90.202,140027,4
580714,580714,NEIL FRANCES,where I become someone,4MFA7lHHvfZk1dw3hLahxR,42,2022,soul,0.91,0.493,7,-12.35,0,0.084,0.439,0.54,0.336,0.95,111.045,188108,4
615794,615794,Luis R Conriquez,La India Bonita (En Vivo),1mcZ8pBDYUaYrZq7mNlWGu,45,2023,sad,0.636,0.797,3,-3.166,1,0.0912,0.36,0.0,0.0533,0.909,155.416,139051,3
825573,965679,Alisha Chinai,Maine Jisko Chaaha,0u0ZyEeSzysKO4oJgpit3U,45,2004,pop-film,0.68,0.838,8,-8.519,0,0.0667,0.0413,6.51e-05,0.358,0.61,129.966,375000,4
551422,551422,Charlotte Fever,Septembre,5doB18k5d74YdrF74Dybvf,41,2022,french,0.705,0.792,9,-5.167,0,0.025,0.0217,0.0259,0.0574,0.542,104.012,204496,4
394321,394321,Delta Sleep,Sofa Boy,72qQrFGhnnR74kOqrCSmkY,43,2019,hard-rock,0.495,0.817,7,-5.691,1,0.0362,0.0331,0.0249,0.101,0.209,136.165,293062,4
1140485,1438198,A$AP Rocky,Leaf (feat. Main Attrakionz),1StRJBkcyMbf07b5TQRwYM,45,2011,hip-hop,0.459,0.615,3,-8.67,1,0.33,0.714,0.0,0.089,0.28,86.648,283240,5
119748,119748,Ty Dolla $ign,Paranoid (feat. B.o.B),0Yp3wCUpjrG7NWWPDpmQXm,56,2014,dance,0.858,0.398,1,-11.306,1,0.0598,0.00888,0.0,0.112,0.258,97.476,216520,4
514974,514974,Clémentine Poirier,Minuit,7GzMpKkrr5zwsmtTIQk2EC,44,2021,piano,0.443,0.0472,5,-27.348,1,0.0386,0.993,0.94,0.124,0.446,116.125,136952,5
469062,469062,Juan Marcus & Vinícius,Volta Marcada,0V0k5MpqZ55XwJRTQq2GbM,47,2020,sertanejo,0.804,0.324,2,-12.243,1,0.0376,0.717,0.0,0.111,0.667,109.927,167573,4
332272,332272,Mc Davi,"Bonita, Lindinha e Sagaz",3ZjpeqP47CBSMUTc6IVhEM,53,2018,funk,0.63,0.465,1,-7.143,1,0.541,0.306,0.0,0.0783,0.84,167.285,155077,5
1011003,1245818,Los Rogers,Nos Pertenecemos,2mvAbsRCWBxQdU82eB4t5e,41,2008,rock-n-roll,0.695,0.341,4,-11.482,1,0.0408,0.868,8.53e-06,0.211,0.719,114.31,110707,3
532137,532137,Three Days Grace,Redemption,5ElQVSkRuOzqKyLS9OdSLa,52,2022,alt-rock,0.616,0.863,9,-2.808,1,0.0454,0.00578,0.0,0.304,0.288,113.009,190800,4
833864,980578,Morodo,Yo Me Pregunto,1uqQEjrZeSVIoqLNq9nxJ0,44,2004,spanish,0.79,0.659,8,-8.686,1,0.277,0.283,1.7e-06,0.098,0.879,156.982,243627,4
1147644,1451603,China Anne McClain,Dynamite,1KtpKMvi42EVZDgooKgdUk,47,2011,pop,0.676,0.779,6,-3.493,1,0.0656,0.182,0.0,0.0352,0.511,122.026,161467,4
321875,321875,Calvin Harris,Promises (with Sam Smith) - Sonny Fodera Remix,1wJiu7QrOanOA9TdK9QFS9,45,2018,dance,0.772,0.849,3,-7.301,0,0.0478,0.0197,0.0324,0.0817,0.581,122.996,237285,4
563762,563762,Robohands,Wildflower,7a6A38L3ugZpdWoaBlqAvJ,45,2022,jazz,0.737,0.434,4,-13.839,0,0.0349,0.426,0.488,0.106,0.187,116.966,178280,4
140668,140668,American Authors,Luck,4gHD93RNqEhEh2NkYzl3x6,48,2014,indie-pop,0.554,0.806,0,-3.463,1,0.046,0.00177,0.0,0.165,0.646,144.923,220693,4
874762,1040708,Eduardo Costa,Tô Indo Embora (feat. Gino & Geno),74zgX6RYZJDULksL9Nq6hQ,49,2005,sertanejo,0.613,0.417,4,-5.449,1,0.0269,0.806,0.0,0.0969,0.431,107.962,191216,4
440007,440007,BAYNK,TESSELLATE,7cD5QLy657vZnf4fAtK622,47,2020,electro,0.79,0.305,9,-11.344,0,0.069,0.529,0.0167,0.54,0.0755,115.982,254715,4
457837,457837,Bad Omens,Burning Out - Unplugged,6olOJiTa1YkxrOeO27p1ej,41,2020,metal,0.532,0.765,5,-8.751,0,0.0423,0.307,1.06e-05,0.398,0.483,83.998,247083,4
889829,1062793,Ratatat,Lex,5t8STuyCdfO3QQK1U0RcD8,41,2006,dance,0.646,0.759,2,-5.335,1,0.0626,0.0118,0.828,0.0558,0.354,104.992,269747,4
492210,492210,Sub Focus,Airplane (Culture Shock Remix),65HLjHSipFfvIU3082WFmS,41,2021,drum-and-bass,0.458,0.996,0,-0.587,1,0.0656,0.00445,0.886,0.169,0.0902,173.986,264828,4
43978,43978,Moonstar88,Migraine - Acoustic Version,1MS0E118Rrk7BBh5sVDByw,56,2012,rock,0.598,0.14,2,-13.325,1,0.0344,0.911,0.0,0.111,0.391,115.352,240680,4
488602,488602,Dabin,Drown,4q7jvS0znF9gBVk7WblXnm,42,2021,dance,0.368,0.754,1,-5.185,1,0.0502,0.00928,0.0,0.256,0.281,169.881,258679,4
12296,12296,Keyshia Cole,Trust And Believe,7GpF0Bh1yvTUA0nyAAIfm5,43,2012,dance,0.353,0.562,0,-5.983,1,0.0907,0.0787,0.0,0.0591,0.117,178.997,253387,3
551301,551301,NSH,Morning Sun,4FBsQTjkURcX5p9eMliVx9,46,2022,french,0.68,0.779,5,-6.702,1,0.0914,0.441,0.000601,0.278,0.404,110.008,186886,4
456139,456139,Siimbiie Lakew,SHOULDA PULLED UP,52pGXXhSsBPx3jOSxlU35N,44,2020,jazz,0.856,0.496,11,-8.879,0,0.182,0.179,0.00107,0.215,0.289,119.975,178000,4
558583,558583,Thymo,Gimme! Gimme! Gimme! (Hardstyle Edit),4pF8aDixC6hxlCE9xWTS40,56,2022,hardstyle,0.506,0.932,0,-4.624,1,0.0408,0.00397,0.00042,0.287,0.627,155.0,189484,4
119903,119903,Nicki Minaj,Win Again,1o6M2GxY3ITaFzOD3XEaFB,43,2014,dance,0.799,0.674,0,-5.589,1,0.0832,0.0957,0.0,0.162,0.422,119.988,250453,4
34841,34841,Norah Jones,She's 22,046ZImwt3w3hMyFUvyO96L,47,2012,jazz,0.384,0.26,11,-11.925,1,0.0389,0.94,0.00875,0.11,0.0956,88.2,190800,4
89137,89137,4Minute,What's your name?,13xfTHyEclnBd7XAS1P5Er,43,2013,k-pop,0.738,0.889,11,-3.019,0,0.073,0.185,0.0,0.0661,0.914,115.041,186776,4
78394,78394,METRICKZ,Valentina,6WTy4ZF2lV7Lwrd1BKUc2H,55,2013,german,0.644,0.905,11,-4.218,0,0.0687,0.0767,0.0,0.0652,0.727,82.5,200727,4
110667,110667,Marika Hackman,Deep Green,3y7SaLukj7ONKxdZLAoQtH,46,2014,ambient,0.52,0.583,9,-10.085,0,0.0311,0.433,0.0203,0.197,0.236,98.987,215729,4
406728,406728,Arijit Singh,"Uska Hi Banana (From ""1920 Evil Returns"")",3h6Xvd0lISog6GxTk4X6MK,59,2019,pop-film,0.563,0.689,0,-4.294,0,0.0262,0.294,0.0,0.288,0.321,101.94,327030,4
550260,550260,Os Barões Da Pisadinha,Se Não For Tua Boquinha - Ao Vivo,3XV0Hcz2wAywdGvK7gmX6D,46,2022,forro,0.637,0.91,7,-2.796,1,0.0742,0.181,0.0,0.427,0.961,168.059,169685,4
331458,331458,Dosseh,Habitué,76HlSm9QxyXxpks5HTYS0F,60,2018,french,0.47,0.292,4,-11.395,0,0.0911,0.592,0.0,0.105,0.514,91.999,215053,3
609034,609034,花冷え。,お先に失礼します。,1bTZoQX1G6GmADCY0xwBbO,57,2023,metal,0.512,0.993,4,-2.176,0,0.251,0.0003,1.16e-05,0.2,0.471,166.012,189852,4
390080,390080,LIZOT,Menage A Trois,40vCMTDaDwwpf7DyBlmgEj,52,2019,german,0.672,0.896,10,-5.278,1,0.0657,0.122,0.00418,0.0608,0.483,123.941,168508,4
578306,578306,Ronghao Li,習慣晚睡,2zoAIGNSffzs95ZHzLyEdR,43,2022,singer-songwriter,0.665,0.66,6,-6.292,1,0.0264,0.263,0.0,0.112,0.586,127.999,243511,4
1113323,1401703,Josh Garrels,Farther Along,5qninDC32ywn4sOtBwwACO,49,2011,acoustic,0.557,0.533,4,-6.114,0,0.03,0.0783,0.00955,0.413,0.157,92.999,304517,4
1147686,1451747,Sohail Sen,Dhunki,3Kd0dzfRnf5DOExPHMdDt3,54,2011,pop-film,0.726,0.77,1,-6.479,0,0.0536,0.296,0.0,0.0557,0.887,94.961,257620,4
509963,509963,Mark Roswell Trio,It Might As Well Be Spring,62sqdTmnNpWcJtxtJXmKzy,51,2021,jazz,0.331,0.169,9,-18.095,0,0.0373,0.956,0.951,0.121,0.114,171.169,275840,3
388578,388578,zebrahead,The Perfect Crime,5rRwE8PjHsBXfvQ2toLAA9,48,2019,funk,0.328,0.974,9,-2.863,1,0.169,0.00123,0.0,0.3,0.334,194.198,206826,4
78948,78948,Tye Tribbett,If He Did It Before....Same God - Live,3ubvpgBsJK96b4OSTo5DiC,46,2013,gospel,0.612,0.796,3,-5.4,0,0.167,0.0335,2.93e-06,0.0592,0.669,159.356,245147,4
1059922,1319771,Luan Santana,Pra Você Lembrar de Mim - Ao Vivo,6UyBou5wNhec8W36dQ2XjR,41,2009,sertanejo,0.658,0.868,0,-5.198,1,0.0343,0.174,0.0,0.598,0.67,131.965,192813,4
591287,591287,Valiant,Glock 40,5gbt4T7oUtLs2nkDfN0XvZ,51,2023,dancehall,0.634,0.533,10,-8.505,0,0.289,0.136,0.000597,0.116,0.213,100.218,136324,4
311450,311450,Sarah Reeves,Just Want You,0jm6UoOxeX1rtYKLrG7pnj,41,2018,alt-rock,0.33,0.325,6,-7.912,0,0.0299,0.648,0.0,0.109,0.224,135.51,272000,4
127060,127060,McCafferty,Dead-Bird,0I8x68KiTOvx1VGDJLXzGO,48,2014,emo,0.539,0.928,9,-5.914,1,0.0504,0.272,0.0,0.375,0.706,142.044,180507,4
898575,1074626,Renaud,Les bobos,26QSpye3i7J9OXnmN5JnPg,41,2006,french,0.601,0.789,10,-8.281,1,0.0865,0.0207,0.00743,0.146,0.644,118.257,236307,4
420131,420131,ROBPM,Seat Belt,1h4bq2MqFYoAu9XVXwZbKD,44,2019,techno,0.823,0.767,8,-5.553,1,0.0417,0.0036,0.854,0.15,0.0814,129.942,274154,4
819600,955274,Arcade Fire,Neighborhood #1 (Tunnels),0WZZJ0mDKIkLfL0710ssZt,55,2004,indie-pop,0.282,0.738,0,-5.566,1,0.0324,0.0647,0.0142,0.29,0.211,126.914,288333,4
74597,74597,Wardruna,Helvegen,1bqmaIBGwlo4MtrAxjRDHB,57,2013,folk,0.234,0.51,5,-13.398,0,0.0498,0.657,0.293,0.545,0.191,100.67,431867,4
838713,987821,Miguel Mateos - Zas,"Y, Sin Pensar",61rrHT4BwRPvxNX4g7aJWT,43,2005,alt-rock,0.558,0.941,5,-4.34,1,0.0459,0.333,0.0135,0.144,0.886,90.543,273067,4
1098228,1374424,Sabaton,Wehrmacht,2DtDNvSMaROl1L7qv21Kkq,47,2010,metal,0.501,0.841,7,-3.242,1,0.0353,0.00488,2.54e-05,0.0292,0.434,98.991,254387,4
136653,136653,Hail The Sun,Relax / Divide,1m6vxw3keGDxwsfSU4jNZM,46,2014,hardcore,0.467,0.347,6,-8.765,1,0.0346,0.401,0.0,0.084,0.117,114.938,198920,3
181835,181835,Randy Travis,"Look Heart, No Hands",4ZfZpMslafgFpTmEg3Tvla,44,2015,gospel,0.66,0.423,0,-11.215,1,0.0287,0.127,9.87e-05,0.106,0.375,100.374,191067,4
620372,620372,Antonio José,Hoy No Estás Sola,4KnfdVzI7Lk0RNeKZQKTkS,53,2023,spanish,0.537,0.782,3,-4.896,1,0.0423,0.296,0.0,0.0992,0.46,94.896,197621,4
